rbi,hr,obp,avg,age,obp pred,"obp	real",error
54,6,0.272,0.25,1986,0.328112522,0.279,-0.049112522
45,9,0.293,0.208,1984,0.324045744,0.324,-4.57439E-05
69,14,0.331,0.278,1989,0.341563846,0.337,-0.004563846
25,4,0.289,0.233,1985,0.30688574,0.26,-0.04688574
100,25,0.403,0.301,1990,0.366438658,0.374,0.007561342
109,32,0.392,0.273,1989,0.373956997,0.376,0.002043003
38,8,0.408,0.289,1989,0.319074367,0.329,0.009925633
55,18,0.262,0.214,1992,0.330182239,0.282,-0.048182239
21,2,0.272,0.218,1988,0.301326849,0.295,-0.006326849
80,18,0.38,0.33,1991,0.350642035,0.281,-0.069642035
38,4,0.299,0.247,1990,0.314554504,0.299,-0.015554504
51,18,0.355,0.241,1988,0.331263175,0.342,0.010736825
77,14,0.305,0.253,1987,0.347216143,0.325,-0.022216143
63,21,0.35,0.264,1983,0.342767896,0.322,-0.020767896
62,18,0.323,0.241,1984,0.340007217,0.301,-0.039007217
7,0,0.305,0.2,1988,0.290752774,0.362,0.071247226
87,29,0.413,0.319,1992,0.359019396,0.393,0.033980604
67,12,0.4,0.32,1987,0.3419437,0.359,0.0170563
51,16,0.314,0.253,1993,0.327395866,0.183,-0.144395866
56,16,0.305,0.248,1990,0.332100919,0.323,-0.009100919
28,8,0.287,0.256,1986,0.310103269,0.254,-0.056103269
84,24,0.391,0.315,1994,0.354237385,0.323,-0.031237385
57,14,0.339,0.262,1985,0.335084,0.329,-0.006084
11,0,0.203,0.177,1991,0.289916939,0.235,-0.054916939
79,23,0.363,0.259,1986,0.353218175,0.352,-0.001218175
34,9,0.373,0.294,1990,0.315182665,0.356,0.040817335
104,37,0.399,0.331,1986,0.373727248,0.358,-0.015727248
3,0,0.135,0.135,1987,0.2840578,0.089,-0.1950578
61,12,0.352,0.273,1984,0.337928525,0.233,-0.104928525
18,2,0.275,0.231,1992,0.297266184,0.282,-0.015266184
61,26,0.309,0.215,1986,0.340849052,0.243,-0.097849052
27,10,0.273,0.181,1987,0.309241469,0.322,0.012758531
43,17,0.354,0.254,1983,0.327350992,0.345,0.017649008
51,12,0.299,0.268,1991,0.326531781,0.272,-0.054531781
25,7,0.322,0.235,1983,0.309700133,0.252,-0.057700133
81,18,0.369,0.282,1991,0.351035237,0.402,0.050964763
23,9,0.318,0.281,1986,0.307470913,0.204,-0.103470913
62,27,0.325,0.282,1989,0.340994088,0.33,-0.010994088
77,22,0.375,0.295,1994,0.348593265,0.348,-0.000593265
46,13,0.322,0.264,1991,0.323791089,0.298,-0.025791089
11,2,0.333,0.257,1983,0.297576992,0.321,0.023423008
51,10,0.332,0.233,1986,0.328790742,0.353,0.024209258
57,14,0.352,0.293,1987,0.33453773,0.352,0.01746227
33,2,0.341,0.308,1988,0.312058414,0.288,-0.024058414
22,6,0.347,0.269,1992,0.303513519,0.31,0.006486481
53,13,0.334,0.249,1989,0.330021984,0.33,-2.19842E-05
27,4,0.259,0.211,1990,0.305341472,0.224,-0.081341472
24,5,0.291,0.259,1991,0.303778568,0.275,-0.028778568
64,18,0.363,0.264,1986,0.341469608,0.278,-0.063469608
87,25,0.318,0.287,1990,0.356487673,0.335,-0.021487673
11,1,0.302,0.259,1992,0.292244519,0.263,-0.029244519
64,8,0.374,0.31,1988,0.337459225,0.321,-0.016459225
62,7,0.369,0.293,1983,0.337712092,0.231,-0.106712092
78,27,0.328,0.29,1991,0.351075993,0.323,-0.028075993
107,38,0.377,0.258,1983,0.376316882,0.336,-0.040316882
24,2,0.324,0.265,1989,0.30440738,0.301,-0.00340738
