rbi,hr,obp,avg,age,avg pred,avg real,error,avg avg,abs error,
69,14,0.331,0.278,1989,0.256611727,0.292,-0.035388273,,0.035388273,
25,4,0.289,0.233,1985,0.236940039,0.21,0.026940039,,0.026940039,
100,25,0.403,0.301,1990,0.273991849,0.308,-0.034008151,,0.034008151,
109,32,0.392,0.273,1989,0.280227247,0.283,-0.002772753,,0.002772753,
38,8,0.408,0.289,1989,0.244175753,0.205,0.039175753,,0.039175753,
55,18,0.262,0.214,1992,0.248980211,0.231,0.017980211,,0.017980211,
21,2,0.272,0.218,1988,0.23253507,0.244,-0.01146493,,0.01146493,
80,18,0.38,0.33,1991,0.26251365,0.236,0.02651365,,0.02651365,
38,4,0.299,0.247,1990,0.239431578,0.236,0.003431578,,0.003431578,
51,18,0.355,0.241,1988,0.252067503,0.253,-0.000932497,,0.000932497,
77,14,0.305,0.253,1987,0.26024329,0.254,0.00624329,,0.00624329,
63,21,0.35,0.264,1983,0.260644921,0.236,0.024644921,,0.024644921,
62,18,0.323,0.241,1984,0.257911169,0.212,0.045911169,,0.045911169,
7,0,0.305,0.2,1988,0.22720576,0.277,-0.04979424,,0.04979424,
87,29,0.413,0.319,1992,0.269421634,0.249,0.020421634,,0.020421634,
67,12,0.4,0.32,1987,0.258039414,0.284,-0.025960586,,0.025960586,
51,16,0.314,0.253,1993,0.247462659,0.156,0.091462659,,0.091462659,
56,16,0.305,0.248,1990,0.250931034,0.253,-0.002068966,,0.002068966,
28,8,0.287,0.256,1986,0.238930134,0.219,0.019930134,,0.019930134,
84,24,0.391,0.315,1994,0.264757385,0.239,0.025757385,,0.025757385,
57,14,0.339,0.262,1985,0.254360235,0.276,-0.021639765,,0.021639765,
11,0,0.203,0.177,1991,0.224546489,0.242,-0.017453511,,0.017453511,
79,23,0.363,0.259,1986,0.26627336,0.229,0.03727336,,0.03727336,
34,9,0.373,0.294,1990,0.241520843,0.253,-0.011479157,,0.011479157,
104,37,0.399,0.331,1986,0.281956005,0.291,-0.009043995,,0.009043995,
3,0,0.135,0.135,1987,0.222037234,0.089,0.133037234,,0.133037234,
61,12,0.352,0.273,1984,0.256142195,0.115,0.141142195,,0.141142195,
18,2,0.275,0.231,1992,0.229189646,0.194,0.035189646,,0.035189646,
61,26,0.309,0.215,1986,0.258827353,0.168,0.090827353,,0.090827353,
27,10,0.273,0.181,1987,0.238255928,0.237,0.001255928,,0.001255928,
43,17,0.354,0.254,1983,0.251406542,0.224,0.027406542,,0.027406542,
51,12,0.299,0.268,1991,0.246828753,0.206,0.040828753,,0.040828753,
25,7,0.322,0.235,1983,0.239957926,0.168,0.071957926,,0.071957926,
81,18,0.369,0.282,1991,0.262583309,0.326,-0.063416691,,0.063416691,
23,9,0.318,0.281,1986,0.238117322,0.133,0.105117322,,0.105117322,
62,27,0.325,0.282,1989,0.258321675,0.3,-0.041678325,,0.041678325,
77,22,0.375,0.295,1994,0.26086098,0.267,-0.00613902,,0.00613902,
46,13,0.322,0.264,1991,0.245788323,0.235,0.010788323,,0.010788323,
11,2,0.333,0.257,1983,0.233016916,0.269,-0.035983084,,0.035983084,
51,10,0.332,0.233,1986,0.249787443,0.238,0.011787443,,0.011787443,
57,14,0.352,0.293,1987,0.253566067,0.293,-0.039433933,,0.039433933,
33,2,0.341,0.308,1988,0.239009518,0.268,-0.028990482,,0.028990482,
22,6,0.347,0.269,1992,0.233955817,0.216,0.017955817,,0.017955817,
53,13,0.334,0.249,1989,0.249984544,0.265,-0.015015456,,0.015015456,
27,4,0.259,0.211,1990,0.234108355,0.167,0.067108355,,0.067108355,
24,5,0.291,0.259,1991,0.233560582,0.232,0.001560582,,0.001560582,
64,18,0.363,0.264,1986,0.258579691,0.18,0.078579691,,0.078579691,
87,25,0.318,0.287,1990,0.266722585,0.268,-0.001277415,,0.001277415,
11,1,0.302,0.259,1992,0.226825226,0.206,0.020825226,,0.020825226,
64,8,0.374,0.31,1988,0.254186951,0.276,-0.021813049,,0.021813049,
62,7,0.369,0.293,1983,0.255778208,0.091,0.164778208,,0.164778208,
78,27,0.328,0.29,1991,0.263567956,0.288,-0.024432044,,0.024432044,
107,38,0.377,0.258,1983,0.284536156,0.246,0.038536156,,0.038536156,
24,2,0.324,0.265,1989,0.234460046,0.251,-0.016539954,,0.016539954,
19,1,0.265,0.223,1990,0.230105423,0.286,-0.055894577,,0.055894577,
88,20,0.337,0.297,1988,0.266987353,0.256,0.010987353,,0.010987353,
57,11,0.35,0.304,1990,0.250729731,0.265,-0.014270269,,0.014270269,
37,11,0.308,0.215,1991,0.241143174,0.256,-0.014856826,,0.014856826,
94,25,0.385,0.318,1989,0.271774182,0.253,0.018774182,,0.018774182,
82,26,0.367,0.26,1991,0.26574685,0.283,-0.01725315,,0.01725315,
55,12,0.311,0.263,1986,0.251581436,0.226,0.025581436,,0.025581436,
86,20,0.313,0.261,1985,0.26728388,0.244,0.02328388,,0.02328388,
31,5,0.342,0.249,1986,0.240399801,0.259,-0.018600199,,0.018600199,
89,33,0.337,0.273,1993,0.269079136,0.277,-0.007920864,,0.007920864,
71,28,0.403,0.307,1989,0.264217598,0.309,-0.044782402,,0.044782402,
61,12,0.309,0.255,1989,0.25216313,0.248,0.00416313,,0.00416313,
90,33,0.345,0.278,1992,0.27025373,0.186,0.08425373,,0.08425373,
85,34,0.367,0.283,1989,0.270921964,0.265,0.005921964,,0.005921964,
3,1,0.179,0.164,1990,0.221800042,0,0.221800042,,0.221800042,
132,59,0.376,0.281,1989,0.29787928,0.266,0.03187928,,0.03187928,
